kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
16384,32,1137686,3376081,8914412,6889995,10674363,3786446,7750195,7064958,10674363,3948985,3260431,7595993,11323393,3.489,linux-AMD64,1024,32,17,iozone-100.out
16384,64,1102036,3834191,10101637,7467231,12236797,4373747,9251652,7798569,11889582,3834405,3602441,9282896,15143768,3.489,linux-AMD64,1024,32,17,iozone-100.out
16384,128,1177191,3632913,8592291,7746700,13160098,4148022,10355860,7613666,10771405,4216227,3843412,7832345,13398728,3.489,linux-AMD64,1024,32,17,iozone-100.out
16384,256,1180588,3737230,10395022,7879945,13824615,4302549,9481418,6532390,9706407,3584402,3695031,12382321,13722472,3.489,linux-AMD64,1024,32,17,iozone-100.out
16384,512,1186049,3636180,8600894,7945545,12731002,4334299,9251652,8533606,10088290,4243303,3909445,8351087,14050747,3.489,linux-AMD64,1024,32,17,iozone-100.out
16384,1024,1229486,3974796,9839832,8899405,14269570,4683777,9261627,8299648,17103733,3833336,3713400,9111806,14962417,3.489,linux-AMD64,1024,32,17,iozone-100.out
16384,2048,1237368,3898135,9995842,8623560,14627994,4439011,9587240,8216292,14910473,4729877,3967910,8471538,13919826,3.489,linux-AMD64,1024,32,17,iozone-100.out
16384,4096,1208619,3908333,10742780,8818322,13375257,4175494,9735283,7568386,14839637,5479669,4898106,9399713,13277058,3.489,linux-AMD64,1024,32,17,iozone-100.out
16384,8192,1135112,4161586,9394573,9415167,12393486,3921492,11138029,4525840,11735272,3776873,5868040,9246672,15398267,3.489,linux-AMD64,1024,32,17,iozone-100.out
16384,16384,1112653,4025555,6198870,8866107,10051401,4025555,7370324,3631952,5499843,4132059,4321760,7396503,7892616,3.489,linux-AMD64,1024,32,17,iozone-100.out
32768,64,1100746,3887969,11485975,7597171,12267166,4100598,10832365,8235397,10947991,3666524,3595731,10314518,12821030,3.489,linux-AMD64,1024,32,17,iozone-100.out
32768,128,1127641,4147747,12286906,7903875,13325726,4179660,10129038,7887998,10439084,3705172,3695012,10936665,13551724,3.489,linux-AMD64,1024,32,17,iozone-100.out
32768,256,1163506,3526806,11546769,6730009,13838264,4022587,11950376,6839526,11816804,3343703,3338586,12300102,15120120,3.489,linux-AMD64,1024,32,17,iozone-100.out
32768,512,1163890,3828510,11279535,8015893,16031968,4115578,12365394,7236750,11354081,3910202,3833850,11619005,14544103,3.489,linux-AMD64,1024,32,17,iozone-100.out
32768,1024,1182059,3864682,11690161,7920729,14116854,4288426,12598900,7327417,9677568,3665742,3705871,11263820,15100185,3.489,linux-AMD64,1024,32,17,iozone-100.out
32768,2048,1170791,4148874,10239974,8059136,14057654,4240136,13744162,7168805,24508508,4171161,3979031,12612774,13462784,3.489,linux-AMD64,1024,32,17,iozone-100.out
32768,4096,1216609,3815649,12137169,8281048,13385426,4161436,11690161,6908630,16301995,4193561,4019058,12091255,14087914,3.489,linux-AMD64,1024,32,17,iozone-100.out
32768,8192,1172169,3817769,10725849,9036801,14615248,4032501,11059877,5848265,9732392,4646692,4815355,8773181,12407814,3.489,linux-AMD64,1024,32,17,iozone-100.out
32768,16384,1159853,3628769,7383710,8460486,10285186,3945562,7901603,4007807,7018348,3841995,6364150,7187550,8088543,3.489,linux-AMD64,1024,32,17,iozone-100.out
65536,64,1065712,3881096,8481319,7560562,12295593,3792789,11790854,8214676,11427626,3780999,3674995,12673722,12995481,3.489,linux-AMD64,1024,32,17,iozone-100.out
65536,128,1123267,3946061,12358614,7867409,13484450,3904859,12222333,7786070,13314627,3661630,3668031,13290165,13633595,3.489,linux-AMD64,1024,32,17,iozone-100.out
65536,256,1160690,4050971,13143999,7886370,13998096,3938654,12764947,6870950,11719470,3640921,4110643,12089025,13979587,3.489,linux-AMD64,1024,32,17,iozone-100.out
65536,512,1186066,4211022,12880390,7650840,14241046,4002718,12276922,8705608,12353615,3556549,3514936,12428463,14749987,3.489,linux-AMD64,1024,32,17,iozone-100.out
65536,1024,1185826,4006335,12559643,7731104,14508641,3966331,12557347,8891177,11242999,3650591,3739590,11692053,13750904,3.489,linux-AMD64,1024,32,17,iozone-100.out
65536,2048,1184543,4096491,12847880,7902467,14194715,4032489,14096443,8027552,12497401,3749026,3817069,12727711,13704969,3.489,linux-AMD64,1024,32,17,iozone-100.out
