kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
65536,16384,1301944,4207477,10079197,11706992,12114065,3986637,11183988,6246259,13829078,4968977,5172925,11415761,12053507,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,64,1279737,4286200,11223903,12185977,11618861,4255181,11706943,8611894,11764816,4155347,4129565,11782719,12433468,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,128,1323077,4379309,12154455,12964469,12449799,4436526,12526105,9154844,12365232,4254094,4210726,12465042,13132321,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,256,1329885,4720076,13190296,13562896,13243679,4500963,12822650,9293824,12043686,4187218,4398264,13079519,13346242,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,512,1341437,4419727,13149282,14277960,13890507,4490595,13586695,9332953,12104678,3774348,3844774,13057462,14148614,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,1024,1360078,4791325,13493322,13595095,13150541,4498606,13300070,9396602,12518974,3890319,3844424,12343022,13242403,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,2048,1341876,4789238,13554536,13798466,13532182,4560290,13301357,9210984,11667439,3881200,4079675,13226155,13516877,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,4096,1330854,4448409,11884349,12699722,12528389,4493532,12927277,9019516,11409555,3851777,3937153,13246232,14003375,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,8192,1335059,4395134,11364037,12209794,12660531,4277962,11184627,8413925,24208926,4029380,4015430,11664221,12412133,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,16384,1298103,4220942,10794170,11045082,11969999,4139858,8071491,4185751,9428996,3188324,2735568,8339513,8364510,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,64,1294525,4272025,12428521,13011539,12442164,4325162,12407484,8573804,12558411,4160423,4106780,11276370,11930878,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,128,1319587,4375994,11549272,12284661,13116937,4300547,12698227,8550069,13249553,4221863,4220096,12396293,13040088,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,256,1337667,4417664,12958175,13443959,13825325,4369942,12754496,9267645,12155504,4188539,4348339,13179040,13460417,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,512,1343604,4431248,11943838,12464591,12196629,4449305,13286538,9446641,12063084,3789631,3796160,11923244,12500301,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,1024,1337579,4459212,11986416,12483554,13673339,4412611,13558682,9560321,12217772,3854219,3868321,12116123,12842090,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,2048,1344230,4455129,11961900,12407484,13358371,4426307,12021670,9562067,12268623,3851613,3856706,12047091,12677436,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,4096,1335255,4447326,12257817,12862221,14035696,4407923,12220080,9490427,12442164,3836949,3854502,12229051,12762490,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,8192,1336847,4418037,11835456,12243485,13481212,4348907,11722771,8992356,11912910,3878966,3905017,11698574,12232044,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,16384,1312248,4392866,11467843,12576511,13096002,4247993,11134204,6905057,14205245,4065507,4118209,11509618,11913555,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,64,1305894,4358455,11800576,12171234,12272375,4276093,12235093,8609008,12602155,4187269,4210947,11825070,12202098,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,128,1330078,4512364,12457233,12891311,13284917,4363835,12039625,8684006,12825672,4356254,4333317,12403061,12787189,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,256,1342146,4510892,12662093,12964883,13067659,4511753,12402432,9290307,12466697,4235025,4224797,12622192,12906519,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,512,1299965,4538580,12779089,13169396,12914478,4486998,12718630,9454146,12889649,3837282,3813975,12810953,13230565,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,1024,1306001,4526165,13042625,13369563,14049578,4518084,13045875,9587782,13440903,3898405,3879505,13049823,13344413,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,2048,1300568,4531799,12959764,13395543,14083591,4525616,13038063,9655391,13191279,3896084,3900486,12991538,13502802,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,4096,1297340,4544283,13039995,13334621,14005642,4525458,13040691,9416940,13443614,3924838,3918445,12997681,13370620,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,8192,1298304,4518864,12822905,13006753,13454966,4517472,12870638,9104901,13026400,3975643,3943702,12778124,13136433,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,16384,1281329,4439773,12579446,13075818,13288610,4400380,11446103,7191878,12479502,3982346,3991106,11939286,13469471,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,4,725882,1599680,4897948,5860307,4274062,1879725,3958892,2444640,4897948,2133730,2203800,5283570,5283570,3.489,linux-AMD64,1024,32,17,iozone-002.out
64,8,913649,3022727,12902017,8182586,7100397,2801873,6421025,3738358,9006179,3057153,3363612,10402178,9006179,3.489,linux-AMD64,1024,32,17,iozone-002.out
64,16,1029254,3791156,15972885,12902017,9006179,3541098,7940539,4564786,12902017,3738358,4988978,15972885,10821524,3.489,linux-AMD64,1024,32,17,iozone-002.out
64,32,1087638,4897948,20962191,20962191,12902017,4018152,9318832,4897948,15972885,4564786,7100397,20962191,15972885,3.489,linux-AMD64,1024,32,17,iozone-002.out
64,64,1163036,4988978,30484297,34389688,15972885,4564786,10821524,4274062,15972885,4018152,5389653,22737791,20962191,3.489,linux-AMD64,1024,32,17,iozone-002.out
