kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
32768,2048,1133724,3135670,8378479,5981638,8359623,3134168,8486607,7470805,22476422,3222347,3244407,7873087,8266604,3.489,linux-AMD64,1024,32,17,iozone.out
32768,4096,1089438,3174857,7890262,6000441,8167857,3132097,10567507,6347983,20212188,3362848,3345413,7640248,8194154,3.489,linux-AMD64,1024,32,17,iozone.out
32768,8192,1070323,2902384,6746527,5697942,8796765,2928357,9839695,5093009,9899940,3455427,3394576,9340816,10317615,3.489,linux-AMD64,1024,32,17,iozone.out
32768,16384,1050220,2808326,5982940,6148897,6541968,2881693,6448050,3065315,6777133,3082295,4769733,6351503,6992638,3.489,linux-AMD64,1024,32,17,iozone.out
65536,64,1004631,2976872,9681592,6511872,9829774,2828113,9136464,7248735,9763783,2903819,2818254,9774199,10039072,3.489,linux-AMD64,1024,32,17,iozone.out
65536,128,1050139,3297922,8373070,5894012,10402661,3081873,7975843,7746573,9499248,3039850,3034916,7875975,8030367,3.489,linux-AMD64,1024,32,17,iozone.out
65536,256,1089035,3127030,8112847,5663871,8388145,3011640,8074953,8439913,7988359,3013853,3210822,7742863,8024506,3.489,linux-AMD64,1024,32,17,iozone.out
65536,512,1113552,3100261,7878910,5753255,8573375,3052170,8233376,8514420,8350685,2924799,3008871,7993237,8687175,3.489,linux-AMD64,1024,32,17,iozone.out
65536,1024,1114595,3148954,8166597,5928206,10837835,3074050,9633412,8164414,10868259,2949023,3011508,8137103,8272526,3.489,linux-AMD64,1024,32,17,iozone.out
65536,2048,1106447,3096141,8163444,5971867,10719076,3067737,8242511,8115961,9246180,2943434,2947316,8038351,8690745,3.489,linux-AMD64,1024,32,17,iozone.out
65536,4096,1098655,3119259,8091830,5988389,9413367,2993340,7648924,7342254,18118873,2933194,2969572,7895884,8585962,3.489,linux-AMD64,1024,32,17,iozone.out
65536,8192,1059901,2975132,6900792,6092853,9771419,2775176,6467592,5351170,9828368,2950321,3087689,6663576,8372050,3.489,linux-AMD64,1024,32,17,iozone.out
65536,16384,1055599,2857483,5715215,5360458,7007757,2781072,6209571,3548468,5896667,3314585,3367371,6011965,6115082,3.489,linux-AMD64,1024,32,17,iozone.out
131072,64,1010835,2999232,9651814,6444378,7764933,2930424,9092763,7832639,9097729,2926633,2935274,8011269,8301984,3.489,linux-AMD64,1024,32,17,iozone.out
131072,128,1054200,3148121,8269515,5765189,9501350,3059726,8152162,7938505,9861655,3073634,3114537,8265288,8587008,3.489,linux-AMD64,1024,32,17,iozone.out
131072,256,1109566,3133890,8443647,5925509,10403213,3120105,8410192,8286842,9119309,3193695,3192045,8415985,8732269,3.489,linux-AMD64,1024,32,17,iozone.out
131072,512,1123462,3136751,8521654,5975749,10554202,3114979,8583657,8427984,9444709,3044729,3069601,8438852,8856771,3.489,linux-AMD64,1024,32,17,iozone.out
131072,1024,1122741,3144340,8442739,6006106,8798513,3162009,8306249,8546692,10044540,3021336,3013982,8585265,8917686,3.489,linux-AMD64,1024,32,17,iozone.out
131072,2048,1110591,3140944,8633939,6003680,10510215,3144951,8541116,8469403,9219480,2952663,2945307,8558534,8885113,3.489,linux-AMD64,1024,32,17,iozone.out
131072,4096,1111044,3111928,8601115,6050793,10382780,3028326,8635703,7781970,8982379,2939700,2922836,8537799,8872351,3.489,linux-AMD64,1024,32,17,iozone.out
131072,8192,1077424,2970484,7528962,6058061,9684629,2990244,7339687,5726634,11554393,2945970,2907471,7802846,8880234,3.489,linux-AMD64,1024,32,17,iozone.out
131072,16384,1055755,2864597,6572975,5431682,7262026,2838536,6654446,3714345,6781097,2863403,2906964,6523603,7094190,3.489,linux-AMD64,1024,32,17,iozone.out
262144,64,1019163,3176816,8976938,6087301,9387361,2998568,8333623,7536796,8754435,3068237,3109471,9212281,8975985,3.489,linux-AMD64,1024,32,17,iozone.out
262144,128,1075488,3295623,9208115,6158114,9837990,3178350,9546791,8518340,8918902,3248372,3285097,9165819,9399237,3.489,linux-AMD64,1024,32,17,iozone.out
262144,256,1127520,3303138,9404624,6262853,10094133,3250840,9258124,8367999,9899284,3371371,3348374,9258124,9527681,3.489,linux-AMD64,1024,32,17,iozone.out
262144,512,1148194,3297283,9556084,6317187,10581403,3220645,9437478,8648732,10152011,3153383,3191858,9402613,9659683,3.489,linux-AMD64,1024,32,17,iozone.out
262144,1024,1139544,3231037,9437478,6368449,10801679,3228485,9447290,8536726,9873593,3095412,3120688,9454764,9734601,3.489,linux-AMD64,1024,32,17,iozone.out
262144,2048,1132063,2921080,9067254,6396086,10916321,3285873,9607604,8603390,9785544,3051843,3027416,9517289,9785892,3.489,linux-AMD64,1024,32,17,iozone.out
262144,4096,1133492,3297451,9484205,6395937,10635960,3274716,9600222,8496223,10181152,3010209,3029760,9511115,9758533,3.489,linux-AMD64,1024,32,17,iozone.out
262144,8192,1094561,3155926,8549471,6385203,9352308,3165075,8312516,5868982,9642317,2958270,3011627,8012192,9611468,3.489,linux-AMD64,1024,32,17,iozone.out
262144,16384,1076995,2974315,7059972,5725048,7102613,3126047,6933009,4801700,5960000,2925191,2712748,7495998,7865801,3.489,linux-AMD64,1024,32,17,iozone.out
524288,64,1026144,3395625,8647773,6603300,9846175,3163030,9538045,7784048,9836926,3293164,3078903,8568453,10336534,3.489,linux-AMD64,1024,32,17,iozone.out
524288,128,1084175,3550042,10703665,6761007,10370852,3410137,9086279,8201980,10588680,3462380,3474685,10455020,10404169,3.489,linux-AMD64,1024,32,17,iozone.out
524288,256,1147896,3597620,10835306,6740325,10848776,3480470,10495188,8357974,10826610,3585758,3605335,10728627,10868777,3.489,linux-AMD64,1024,32,17,iozone.out
524288,512,1170627,3544308,11163642,6937686,10971154,3435228,8649746,8548334,11059993,3357806,3357549,9199979,10915389,3.489,linux-AMD64,1024,32,17,iozone.out
524288,1024,1168499,3569085,11067452,6925756,11221464,3484634,10973399,8625859,11232756,3302373,3311927,11217857,11505873,3.489,linux-AMD64,1024,32,17,iozone.out
524288,2048,1152147,3536346,11194615,6955724,11279425,3492066,8566350,8753453,11293501,3249244,3058749,10975754,11229830,3.489,linux-AMD64,1024,32,17,iozone.out
524288,4096,1143614,3548627,11089219,6894898,11350218,3522490,11007290,8178461,11244070,3221866,3220385,11049712,11217571,3.489,linux-AMD64,1024,32,17,iozone.out
524288,8192,1123201,3471114,8949348,6813800,10990895,3432461,8678694,5784729,10947287,3220281,3204499,11036015,11170050,3.489,linux-AMD64,1024,32,17,iozone.out
524288,16384,1124217,3482041,7461048,5789206,8669627,3395714,7357624,4854111,8342026,3094806,3019919,8060645,8523748,3.489,linux-AMD64,1024,32,17,iozone.out
